date,Pressure_mean,Avg.Wind.Speed_mean,AQI_adj_mean,PM1_mean,PM2.5_Dyson,PM10_mean,Temp_mean,Humidity_mean,AQI_mean,degrees_mean,Rain_sum,sinWind,cosWind,elevated_hours
2023-07-11,29.889375,3.5729166666666665,31.916666666666657,12.44791666666667,15.96875,16.60416666666667,79.84375,54.427083333333336,57.177083333333336,220.3125,0,0.3903523267802076,0.9206655532696322,11
2023-07-12,29.928229166666668,3.2916666666666674,46.32291666666667,18,23.458333333333332,24.333333333333332,82.90625,54.17708333333334,74.80208333333334,193.59375,0,-0.926497009887133,0.376302126847832,12
2023-07-13,29.8634375,7.729166666666669,55.583333333333336,21.822916666666668,29.770833333333332,31.677083333333336,81.29166666666667,70.80208333333333,88.0625,138.515625,0,0.2816835358861766,0.9595073661054724,12
2023-07-14,29.89,5.9375,30.95833333333333,12.020833333333334,15.541666666666666,16.53125,78.5625,79.29166666666667,54.479166666666664,187.96875,0.97,-0.5027777409100606,0.8644157236222488,10
2023-07-15,29.938958333333332,4.583333333333333,36.510416666666664,14.03125,18.53125,19.697916666666668,77.65625,89.10416666666666,63.791666666666664,183.28125,0.08999999999999998,0.8766603347999443,0.4811098184286511,12
2023-07-16,29.836041666666667,5.104166666666665,14.6875,5.802083333333333,7.302083333333334,8.46875,75.60416666666667,98.03125,30.291666666666664,153.75,1.52,0.18693383059127952,-0.9823725072397287,1
2023-07-17,29.922708333333333,4.895833333333335,52.0625,19.927083333333332,30.03125,34.28125,80.67708333333334,78.78125,89.86458333333333,199.921875,0,-0.9086563913509623,0.4175446831861794,12
2023-07-18,29.958125,4.927083333333333,63.05208333333333,23.666666666666664,37.458333333333336,43.989583333333336,76.97916666666667,84.28125,105.97916666666667,138.515625,0.15000000000000002,0.2816835358861766,0.9595073661054724,12
2023-07-19,30.018958333333334,3.34375,78.04166666666666,30.53125,52.03125,62.84375,75.34375,81.1875,139.94791666666669,185.390625,0.01,-0.036650228234595676,-0.9993281546971206,12
2023-07-20,29.976145833333334,5.427083333333335,57.01041666666668,20.8125,34.875,40.65625,79.32291666666666,67.625,101.3125,213.984375,0,0.34859771792686245,0.9372724422792893,12
2023-07-21,29.780208333333334,4.90625,34.79166666666668,12.645833333333336,19.427083333333332,22.02083333333332,77.96875,74.22916666666667,63.44791666666664,192.421875,0.23000000000000004,-0.7066293001498203,-0.7075839400168542,10
2023-07-22,29.805208333333333,6.760416666666665,13.27083333333333,5.1875,6.604166666666665,6.979166666666666,78.83333333333334,55.60416666666667,27.479166666666664,305.859375,0,-0.9022191249312045,-0.4312779273373164,0
2023-07-23,29.957395833333333,5.072916666666665,29.552083333333336,10.75,14.78125,15.541666666666668,79.92708333333334,55.677083333333336,56.552083333333336,228.75,0,0.5532525131407077,-0.8330135993508696,12
2023-07-24,30.092916666666667,5.927083333333334,30.63541666666667,11.25,15.291666666666664,16.0625,77.09375,69.39583333333334,57.60416666666667,149.0625,0,-0.986720364156802,-0.1624282086285141,12
2023-07-25,30.08020833333333,4.5625,27.21875,10.010416666666668,13.572916666666668,14.447916666666664,75.86458333333334,78.94791666666666,52.3125,191.25,0.42000000000000004,0.37755261448342536,-0.9259881334535178,9
2023-07-26,30.085104166666667,5.614583333333333,53.6875,17.677083333333336,28.375,30.552083333333336,77.67708333333334,72.09375,85.20833333333333,180.703125,0,-0.9981065554565687,0.06150856813992317,12
2023-07-27,29.9634375,7.375,52.604166666666664,20.15625,28.760416666666668,31.9375,82.125,75.65625,86.44791666666667,183.75,0,0.9994499181939906,0.03316415266557249,12
2023-07-28,29.979375,3.364583333333332,36.208333333333336,13.364583333333334,18.229166666666668,19.09375,85.09375,68.02083333333333,62.364583333333336,213.28125,0.06999999999999999,-0.3401255875672557,0.9403800214179526,12
2023-07-29,29.805416666666666,6.8125,23.59375,9.427083333333334,11.854166666666666,12.416666666666666,80.27083333333334,75.89583333333334,46.510416666666664,216.5625,0.09,0.2059095633486712,-0.9785710253842383,9
2023-07-30,29.921770833333333,8.802083333333336,6.125,2.666666666666667,3.041666666666667,3.364583333333333,73.40625,58.42708333333333,12.791666666666668,305.390625,0,-0.6100610217094651,-0.7923544344488794,0
2023-07-31,29.975520833333334,5.239583333333334,11.96875,4.885416666666667,6.052083333333335,6.375,76.29166666666666,52.239583333333336,25.04166666666666,240,0,0.9454451549211168,0.32578130553514806,0
2023-08-01,30.110520833333332,6.916666666666667,9.19791666666667,3.583333333333334,4.583333333333335,4.90625,75.47916666666666,49.09375,19.16666666666666,325.078125,0,-0.9970588743380034,-0.07663942264809565,0
2023-08-02,30.198125,5.479166666666667,4.3125,1.8854166666666665,2.1979166666666665,2.3541666666666665,74.30208333333334,47.58333333333333,8.895833333333334,270.703125,0,0.5022136682855938,0.8647435639466348,0
2023-08-03,30.106041666666666,8.23958333333333,5.510416666666666,2.395833333333333,2.71875,3.0625,70.875,63.71875,11.520833333333332,140.625,0,0.6791980293819437,-0.7339550646215912,0
2023-08-04,29.967708333333334,7.416666666666666,44.416666666666664,14.822916666666664,23.25,24.90625,71.41666666666667,81.625,72.70833333333334,147.421875,0,0.2308777591524954,-0.9729827646616985,12
2023-08-05,29.965104166666666,5.322916666666667,52.59375,18.29166666666667,28.46875,31.4375,77.59375,66.57291666666669,86.07291666666669,278.90625,0,0.6407664455038735,-0.7677358675458191,12
2023-08-06,30.005937499999998,6.375,57.5,20.614583333333336,31.59375,34.82291666666667,77.58333333333333,58.78125,92.29166666666666,223.359375,0,-0.3015296757508827,-0.9534567922258289,12
