DAY,DATE,SHIP,LINE,ARRIVAL TIME,DEPARTURE TIME,TERMINAL,DESTINATION & NOTES
Wednesday,9/6/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,9/6/2023,Seabourn Quest,Seabourn,7:00 AM,5:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Thursday,9/7/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Thursday,9/7/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Friday,9/8/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"San Juan, PR/St. Thomas, USVI/Turks & Caicos"
Saturday,9/9/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,New England/Canadian Maritimes
Sunday,9/10/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Miami, FL/Bahamas"
Sunday,9/10/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,9/10/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,9/11/2023,Amera,Phoenix Reisen Cruises,7:30 AM,---,MCT,In port overnight
Monday,9/11/2023,Queen Mary 2,Cunard,6:00 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK/Hamburg, Ger.)"
Tuesday,9/12/2023,Amera,Phoenix Reisen Cruises,---,6:00 PM,MCT,"Transatlantic (New England/Ireland/UK/Bremerhaven, Ger.)"
Wednesday,9/13/2023,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT,Bermuda
Thursday,9/14/2023,Jewel of the Seas,Royal Caribbean,7:00 AM,---,CLCP,Unscheduled overnight in port due to Hurricane Lee
Friday,09/15/2023,Emerald Princess,Princess Cruises,N/A,---,BCT,"Arrived a day early after cancelling a call at Halifx, NS due to Hurricane 
Lee; in port overnight"
Friday,09/15/2023,Vista,Oceania Cruises,5:00 AM,---,MCT,"*****Maiden Arrival; *Arrived 2 days early after skipping port calls due to 
Hurricane Lee; in port overnight"
Friday,09/15/2023,Jewel of the Seas,Royal Caribbean,---,6:30 PM,CLCP,"Greenland/Canadian Maritimes (call at Halifax cancelled due to Hurricane 
Lee)"
Friday,9/15/2023,Silver Shadow,Silversea Cruises,7:00 AM,---,MCT,In port overnight
Saturday,9/16/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"St. John, NB/Halifax, NS/Sydney, NS"
Saturday,09/16/2023,Vista,Oceania Cruises,---,---,MCT,Unscheduled overnight in port due to Hurricane Lee
Saturday,09/16/2023,Norwegian Escape,Norwegian Cruise Line,N/A,---,MCT,"Arrived a day early after cancelling two port calls due to Hurricane 
Harvey; anchored in port overnight"
Saturday,9/16/2023,Emerald Princess,Princess Cruises,---,5:00 PM,BCT,New England/Canadian Maritimes
Saturday,9/16/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Saturday,9/16/2023,Silver Shadow,Silversea Cruises,---,2:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que."
Sunday,9/17/2023,Norwegian Escape,Norwegian Cruise Line,---,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,9/17/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,9/17/2023,Seven Seas Mariner,Regent Seven Seas,6:00 AM,6:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Sunday,9/17/2023,Vista,Oceania Cruises,---,---,MCT,In port overnight
Monday,9/18/2023,Aurora,P&O Cruises,AM,---,MCT,In port overnight
Monday,9/18/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,Bermuda
Monday,9/18/2023,Vista,Oceania Cruises,---,6:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Tuesday,9/19/2023,Aurora,P&O Cruises,---,---,MCT,In port overnight
Tuesday,9/19/2023,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT,"New England/Canadian Maritimes/Quebec City, Que."
Wednesday,9/20/2023,Aurora,P&O Cruises,---,7:00 PM,MCT,"Transatlantic (Maine/Halifax, NS/St. Johns, NL/Southampton, UK)"
Wednesday,9/20/2023,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT,Bermuda
Wednesday,9/20/2023,Marella Discovery,Marella Cruises,7:00 AM,---,BCT,In port overnight
Wednesday,9/20/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Thursday,9/21/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Thursday,9/21/2023,Marella Discovery,Marella Cruises,---,5:30 PM,BCT,"Bahamas/Port Canaveral, FL"
Friday,9/22/2023,Mein Schiff 6,TUI Cruises,9:30 AM,---,CLCP,In port overnight
Saturday,9/23/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Portland, ME/St. John, NB/Halifax, NS"
Saturday,9/23/2023,Emerald Princess,Princess Cruises,6:00 AM,6:00 PM,BCT,New England/Canadian Maritimes
Saturday,9/23/2023,Mein Schiff 6,TUI Cruises,---,11:59 PM,CLCP,"New England/Canadian Maritimes/Quebec City, Que."
Sunday,9/24/2023,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT,New England/Canadian Maritimes
Sunday,9/24/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,9/24/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,9/24/2023,Viking Octantis,Viking Expeditions Cruises,N/A,N/A,MCT,"Ushuaia, Argentina"
Monday,9/25/2023,Explora I,Explora Journeys,7:00 AM,---,MCT,*****Maiden Arrival; In port overnight*
Monday,9/25/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que."
Tuesday,9/26/2023,Explora I,Explora Journeys,---,6:00 AM,MCT,"Boston, MA/St. John, NB/Quebec City, Que."
Wednesday,9/27/2023,Crystal Serenity,Crystal Cruises,8:00 AM,3:00 PM,MCT,"Boston, Halifax, NS/Sydney, NS/Quebec City, Que."
Wednesday,9/27/2023,Insignia,Oceania Cruises,6:00 AM,7:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Wednesday,9/27/2023,Viking Star,Viking Ocean Cruises,11:30 AM,---,MCT,In port overnight
Thursday,9/28/2023,Disney Dream,Disney Cruise Line,5:30 AM,4:00 PM,MCT,Bermuda
Thursday,9/28/2023,Jewel of the Seas,Royal Caribbean,8:00 AM,5:00 PM,CLCP,"Canadian Maritimes/Quebec City, Que."
Thursday,9/28/2023,Viking Star,Viking Ocean Cruises,---,---,MCT,In port overnight
Friday,9/29/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,9/29/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Halifax, NS/Canadian Maritimes/Quebec City, Que./Boston, MA"
Friday,9/29/2023,Viking Star,Viking Ocean Cruises,---,N/A,MCT,"Boston, MA/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Saturday,9/30/2023,Emerald Princess,Princess Cruises,6:00 AM,6:00 PM,BCT,New England/Canadian Maritimes
Saturday,9/30/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Saturday,9/30/2023,Pacific World,Peaceboat,6:00 AM,11:00 PM,MCT,115th Global Voyage
Sunday,10/1/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,10/1/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Tuesday,10/3/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,Bermuda
Wednesday,10/4/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,10/4/2023,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT,New England/Canadian Maritimes
Thursday,10/5/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Thursday,10/5/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Thursday,10/5/2023,Silver Shadow,Silversea Cruises,7:00 AM,7:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que."
Friday,10/6/2023,Mein Schiff 6,TUI Cruises,10:30 AM,---,CLCP,In port overnight
Saturday,10/7/2023,Disney Dream,Disney Cruise Line,7:30 AM,5:00 PM,MCT,Bermuda
Saturday,10/7/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,New England/Canadian Maritimes
Saturday,10/7/2023,Mein Schiff 6,TUI Cruises,---,11:59 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Saturday,10/7/2023,Silver Endeavour,Sliversea Cruises,6:00 AM,N/A,MCT,N/A
Sunday,10/8/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,10/8/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,10/8/2023,Spirit of Discovery,Saga Cruises,8:00 AM,5:00 PM,MCT,"Transatlantic (New England/Canada/Azores/Portsmouth, UK)"
Sunday,10/8/2023,The World,The World Resident Holdings,8:30 AM,---,MCT,In port overnight
Monday,10/9/2023,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT,"New England/Canadian Maritimes/Quebec City, Que."
Monday,10/9/2023,Seven Seas Mariner,Regent Seven Seas,6:00 AM,6:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Monday,10/9/2023,Vista,Oceania Cruises,8:00 AM,---,MCT,In port overnight
Monday,10/9/2023,The World,The World Resident Holdings,---,---,MCT,In port overnight
Tuesday,10/10/2023,Vista,Oceania Cruises,---,5:00 PM,MCT,"Charleston, SC/Miami, FL"
Tuesday,10/10/2023,The World,The World Resident Holdings,---,---,MCT,In port overnight
Wednesday,10/11/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Wednesday,10/11/2023,Norwegian Sky,Norwegian Cruise Line,8:00 AM,10:00 PM,MCT,"Baltimore, MD"
Wednesday,10/11/2023,The World,The World Resident Holdings,---,N/A,MCT,N/A
Thursday,10/12/2023,Balmoral,Fred Olsen Cruise Lines,AM,---,MCT,In port overnight
Thursday,10/12/2023,Explora I,Explora Journeys,7:00 AM,---,MCT,In port overnight
Thursday,10/12/2023,Seabourn Quest,Seabourn Cruise Line,7:00 AM,5:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Friday,10/13/2023,Balmoral,Fred Olsen Cruise Lines,---,---,MCT,In port overnight
Friday,10/13/2023,Crystal Serenity,Crystal Cruises,7:00 AM,8:00 PM,MCT,"New England/Nova Scotia/Quebec City, Que."
Friday,10/13/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,Bermuda
Friday,10/13/2023,Explora I,Explora Journeys,---,---,MCT,In port overnight
Friday,10/13/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK/Hamburg, Ger.)"
Saturday,10/14/2023,Balmoral,Fred Olsen Cruise Lines,---,Early AM,MCT,"Transatlantic (Baltimore, MD/Bermuda/Azores/Southampton, UK)"
Saturday,10/14/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Miami, FL/Bahamas"
Saturday,10/14/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,New England/Canadian Maritimes
Saturday,10/14/2023,Explora I,Explora Journeys,---,6:00 AM,MCT,"Boston, MA/Halifax, NS/Quebec City, Que."
Saturday,10/14/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,10/15/2023,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT,New England/Canadian Maritimes
Sunday,10/15/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Newport, RI/Maine/St. John, NB/Halifax, NS"
Sunday,10/15/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,10/16/2023,Mein Schiff 6,TUI Cruises,11:00 AM,---,CLCP,In port overnight
Monday,10/16/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Repositioning to Miami, FL via Eastern Caribbean"
Tuesday,10/17/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,"St. John, NB"
Tuesday,10/17/2023,Mein Schiff 6,TUI Cruises,---,---,CLCP,In port overnight
Tuesday,10/17/2023,MS Europa 2,Hapag-Lloyd Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,10/18/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,10/18/2023,Mein Schiff 6,TUI Cruises,---,10:00 PM,CLCP,Florida/Bahamas
Wednesday,10/18/2023,MS Europa 2,Hapag-Lloyd Cruises,---,5:00 PM,MCT,"New England/Nova Scotia, NS/Norfolk, VA/Baltimore, MD"
Thursday,10/19/2023,MS Europa,Hapag-Lloyd Cruises,4:00 PM,---,MCT,In port overnight
Thursday,10/19/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Thursday,10/19/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Friday,10/20/2023,Jewel of the Seas,Royal Caribbean,8:00 AM,5:00 PM,CLCP,"New England/Canadian Maritimes/Quebec City, Que."
Friday,10/20/2023,MS Europa,Hapag-Lloyd Cruises,---,---,MCT,In port overnight
Saturday,10/21/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,Bermuda
Saturday,10/21/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,New England/Canadian Maritimes
Saturday,10/21/2023,MS Europa,Hapag-Lloyd Cruises,---,---,MCT,In port overnight
Sunday,10/22/2023,MS Europa,Hapag-Lloyd Cruises,---,7:00 AM,MCT,"Baltimore, MD/Miami, FL"
Sunday,10/22/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Sunday,10/22/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,10/23/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bermuda
Wednesday,10/25/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Mexico/Bahamas"
Wednesday,10/25/2023,Silver Shadow,Silversea Cruises,7:00 AM,7:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que."
Thursday,10/26/2023,Mein Schiff 6,TUI Cruises,8:00 AM,---,CLCP,In port overnight
Friday,10/27/2023,Artania,Phoenix Reisen Cruises,7:00 AM,---,MCT,In port overnight
Friday,10/27/2023,Caribbean Princess,Princess Cruises,7:00 AM,11:00 PM,BCT,"Ft. Lauderdale, FL"
Friday,10/27/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,Bermuda
Friday,10/27/2023,Mein Schiff 6,TUI Cruises,---,10:00 PM,CLCP,"Norfolk, VA/Charleston, SC/Florida/Eastern Caribbean"
Saturday,10/28/2023,Artania,Phoenix Reisen Cruises,---,7:00 PM,MCT,Eastern Seaboard
Saturday,10/28/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Eastern Caribbean
Saturday,10/28/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,New England/Canadian Maritimes
Saturday,10/28/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,N/A,CLCP,"Repositioning to Ft. Lauderdale, FL"
Sunday,10/29/2023,Crystal Serenity,Crystal Cruises,7:00 AM,10:00 PM,BCT,"Miami, FL"
Sunday,10/29/2023,Explora I,Explora Journeys,7:00 AM,---,MCT,In port overnight
Sunday,10/29/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Sunday,10/29/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,N/A,CLCP,"Repositioning to Miami, FL"
Sunday,10/29/2023,MS Europa 2,Hapag-Lloyd Cruises,8:00 AM,---,MCT,In port overnight
Monday,10/30/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,10/30/2023,Explora I,Explora Journeys,---,7:00 PM,MCT,"Port Canaveral, FL/Miami, FL"
Monday,10/30/2023,MS Europa 2,Hapag-Lloyd Cruises,---,10:00 AM,MCT,"Eastern Caribbean/Miami, FL"
Tuesday,10/31/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,Bermuda
Tuesday,10/31/2023,Seven Seas Mariner,Regent Seven Seas,6:00 AM,6:00 PM,MCT,"Eastern Caribbean/Miami, FL"
Thursday,11/2/2023,Seabourn Quest,Seabourn Cruise Line,8:00 AM,---,MCT,In port overnight
Friday,11/3/2023,Seabourn Quest,Seabourn Cruise Line,---,12:00 PM,MCT,"Charleston, SC/Miami, FL"
Saturday,11/4/2023,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT,"Bermuda/Tortola, BVI/San Juan, PR"
Saturday,11/4/2023,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT,Repositioning to Ft. Lauderdale via the Eastern Caribbean
Saturday,11/4/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,11/5/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Port Canaveral/Bahamas
Sunday,11/5/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Miami, FL/Bahamas"
Sunday,11/5/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,8:00 PM,MCT,Bermuda
Thursday,11/9/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Eastern Caribbean
Thursday,11/9/2023,Jewel of the Seas,Royal Caribbean,8:00 AM,5:00 PM,CLCP,"Repositioning to San Juan, PR via Bermuda/Curacao/Aruba"
Friday,11/10/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,8:00 PM,MCT,Bermuda
Saturday,11/11/2023,Insignia,Oceania Cruises,1:00 PM,---,MCT,In port overnight
Sunday,11/12/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Port Canaveral/Bahamas
Sunday,11/12/2023,Insignia,Oceania Cruises,---,6:00 PM,MCT,Eastern Caribbean
Monday,11/13/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,Bermuda
Monday,11/13/2023,Silver Shadow,Silversea Cruises,8:00 AM,---,MCT,In port overnight
Tuesday,11/14/2023,Silver Shadow,Silversea Cruises,---,1:00 PM,MCT,"Bermuda/Ft. Lauderdale, FL"
Wednesday,11/15/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,N/A,MCT,"Repositioning to Port Canaveral, FL"
Wednesday,11/15/2023,Norwegian Jade,Norwegian Cruise Line,7:00 AM,N/A,MCT,"Repositioning to Tampa, FL"
Friday,11/17/2023,Silver Nova,Silversea Cruises,7:00 AM,---,MCT,*****Maiden Arrival; In port overnight*
Saturday,11/18/2023,Silver Nova,Silversea Cruises,---,11:00 PM,MCT,"Norfolk, VA/Bermuda/San Juan, PR"
Sunday,11/19/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Port Canaveral/Bahamas
Sunday,11/19/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Miami, FL/Bahamas"
Sunday,11/19/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Monday,11/20/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Bahamas/Turks & Caicos/Dominican Republic/San Juan, PR"
Sunday,11/26/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Port Canaveral/Bahamas
Sunday,11/26/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,11/26/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,Eastern Caribbean
Monday,11/27/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,Bermuda
Tuesday,11/28/2023,Norwegian Breakaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Repositioning to New Orleans, LA via the Caribbean"
Thursday,11/30/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"San Juan, PR/Dominican Republic/Turks & Caicos/Bahamas"
Friday,12/1/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Repositioning to Galveston, TX via the Caribbean"
Saturday,12/2/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,12/3/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Wednesday,12/6/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,12/8/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK)"
Saturday,12/9/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,12/10/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,12/10/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bahamas
Saturday,12/16/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Saturday,12/16/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Sunday,12/17/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,12/18/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bahamas/Turks & Caicos/Dominican Republic
Tuesday,12/19/2023,Norwegian Gem,Norwegian Cruise Line,7:00 AM,N/A,MCT,"Repositioning to Miami, FL"
Thursday,12/21/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,12/22/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,Eastern Caribbean
Saturday,12/23/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,12/24/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Thursday,12/28/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Miami, FL/Bahamas"
Saturday,12/30/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,12/31/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Tuesday,1/2/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Wednesday,1/3/2024,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK)"
Saturday,1/6/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bahamas
Saturday,1/6/2024,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT,"Port Canaveral, FL/Miami, FL/Bahamas"
Sunday,1/7/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Friday,1/12/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Sunday,1/14/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Miami, FL/Bahamas"
Monday,1/15/2024,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Mexico/Bahamas/Miami, FL"
Wednesday,1/17/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Thursday,1/18/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Tuesday,1/23/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Bahamas/Turks & Caicos/Dominican Republic/San Juan, PR"
Friday,1/26/2024,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT,"Port Canaveral, FL/Miami, FL/Bahamas"
Saturday,1/27/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Monday,1/29/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Friday,2/2/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Miami, FL/Bahamas"
Sunday,2/4/2024,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Tuesday,2/6/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,2/9/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/11/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,2/11/2024,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Miami, FL/Bahamas"
Friday,2/16/2024,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Eastern Caribbean
Saturday,2/17/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/18/2024,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Miami, FL/Bahamas"
Friday,2/23/2024,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"Miami, FL/Bahamas"
Sunday,2/25/2024,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
