time_stamp,humidity,temperature,pm2.5_alt,local_datetime,Date,PM2.5_corrected
2023-07-12T12:00:00Z,100,75,11.1,2023-07-12T08:00:00Z,2023-07-12,2.9464000000000006
2023-07-12T13:00:00Z,79.133,84.133,10.4,2023-07-12T09:00:00Z,2023-07-12,4.378335400000001
2023-07-12T14:00:00Z,45.633,92.967,8.8,2023-07-12T10:00:00Z,2023-07-12,6.4276354
2023-07-12T15:00:00Z,41.034,95.8,8.3,2023-07-12T11:00:00Z,2023-07-12,6.562069200000001
2023-07-12T16:00:00Z,39.666,96.233,8.1,2023-07-12T12:00:00Z,2023-07-12,6.5751908
2023-07-12T17:00:00Z,41.133,95.567,8.6,2023-07-12T13:00:00Z,2023-07-12,6.7107354
2023-07-12T18:00:00Z,81.166,86.533,10.1,2023-07-12T14:00:00Z,2023-07-12,4.0458908000000005
2023-07-12T19:00:00Z,100,86.166,11.5,2023-07-12T15:00:00Z,2023-07-12,3.1560000000000006
2023-07-12T20:00:00Z,100,84.833,11.4,2023-07-12T16:00:00Z,2023-07-12,3.103600000000001
2023-07-12T21:00:00Z,100,78.6,5.3,2023-07-12T17:00:00Z,2023-07-12,-0.09279999999999866
2023-07-12T22:00:00Z,100,77.867,4.9,2023-07-12T18:00:00Z,2023-07-12,-0.30239999999999867
2023-07-12T23:00:00Z,100,77.633,4.7,2023-07-12T19:00:00Z,2023-07-12,-0.40719999999999956
2023-07-13T00:00:00Z,100,77.133,4.4,2023-07-12T20:00:00Z,2023-07-12,-0.5643999999999991
2023-07-13T01:00:00Z,100,77,5.7,2023-07-12T21:00:00Z,2023-07-12,0.11680000000000135
2023-07-13T02:00:00Z,100,76.633,7,2023-07-12T22:00:00Z,2023-07-12,0.7980000000000009
2023-07-13T03:00:00Z,100,76,6.8,2023-07-12T23:00:00Z,2023-07-12,0.6932000000000009
2023-07-13T04:00:00Z,100,75.966,7.3,2023-07-13T00:00:00Z,2023-07-13,0.9552000000000014
2023-07-13T05:00:00Z,100,75.6,7.7,2023-07-13T01:00:00Z,2023-07-13,1.1648000000000014
2023-07-13T06:00:00Z,100,74.867,7.1,2023-07-13T02:00:00Z,2023-07-13,0.8504000000000005
2023-07-13T07:00:00Z,100,74,7.7,2023-07-13T03:00:00Z,2023-07-13,1.1648000000000014
2023-07-13T08:00:00Z,100,73.934,7.8,2023-07-13T04:00:00Z,2023-07-13,1.217200000000001
2023-07-13T09:00:00Z,100,73,5.8,2023-07-13T05:00:00Z,2023-07-13,0.1692000000000009
2023-07-13T10:00:00Z,100,73.3,3.8,2023-07-13T06:00:00Z,2023-07-13,-0.8787999999999991
2023-07-13T11:00:00Z,100,74.666,5.9,2023-07-13T07:00:00Z,2023-07-13,0.22160000000000046
2023-07-13T12:00:00Z,100,76.4,11.3,2023-07-13T08:00:00Z,2023-07-13,3.0512000000000015
2023-07-13T13:00:00Z,97.3,82.533,11.3,2023-07-13T09:00:00Z,2023-07-13,3.283940000000001
2023-07-13T14:00:00Z,74.966,89.6,13,2023-07-13T10:00:00Z,2023-07-13,6.099930800000001
