date,Generator,Pressure_mean,Avg.Wind.Speed_mean,AQI_adj_mean,PM1_mean,PM2.5_Dyson,PM10_mean,Temp_mean,Humidity_mean,AQI_mean,Rain_sum,sinWind,cosWind,elevated_hours,ShipAnthem of the Seas,ShipNorwegian Gem,ShipQueen Mary 2,ShipNorwegian Getaway,ShipQueen Victoria,ShipNorwegian Prima,ShipMS Rotterdam,ShipAmera,ShipNorwegian Sun,ShipViking Octantis,ShipCosta Deliziosa,ShipMSC Meraviglia,ShipNorwegian Breakaway,ShipNorwegian Dawn,ShipNorwegian Epic,ShipOcean Explorer,ShipEnchantment of the Seas,ShipLiberty of the Seas,ShipCelebrity Summit,ShipOasis of the Seas,ShipNorwegian Joy,ShipViking Polaris,ShipMarella Discovery,ShipSeven Seas Navigator,ShipSilver Shadow,ShipViking Saturn,ShipCarnival Venezia,ShipViking Neptune,ShipCaribbean Princess,ShipInsignia,ShipCoral Princess,ShipNorwegian Escape,ShipViking Star,ShipSeabourn Quest,ShipEmerald Princess,ShipJewel of the Seas,ShipVista,ShipSeven Seas Mariner,ShipAurora,ShipMein Schiff 6,ShipExplora I,ShipCrystal Serenity,ShipDisney Dream,ShipPacific World,ShipSilver Endeavour,ShipSpirit of Discovery,ShipThe World,ShipNorwegian Sky,ShipBalmoral,ShipMS Europa 2,ShipMS Europa,ShipArtania,ShipNorwegian Jade,ShipSilver Nova,TerminalCLCP,TerminalMCT,TerminalBCT,LineRoyal Caribbean,LineNorwegian Cruise Line,LineCunard,LineHolland America Line,LinePhoenix Reisen Cruises,LineViking Expedition Cruises,LineCosta Cruises,LineMSC Cruises,LineVantage Travel,LineCelebrity Cruises,LineMarella Cruises,LineRegent Seven Seas,LineSilversea Cruises,LineViking Ocean Cruises,LineCarnival Cruise Line,LinePrincess Cruises,LineOceania Cruises,LineViking Expeditions,LineSeabourn,LineP&O Cruises,LineTUI Cruises,LineExplora Journeys,LineCrystal Cruises,LineDisney Cruise Line,LinePeaceboat,LineSaga Cruises,LineThe World Resident Holdings,LineFred Olsen Cruise Lines,LineHapag-Lloyd Cruises,dayofweek,Ships,PM2.5_corrected
2023-07-21T00:00:00Z,1,29.780208333333334,4.90625,34.79166666666668,12.645833333333336,19.427083333333332,22.02083333333332,77.96875,74.22916666666667,63.44791666666664,0.23000000000000004,-0.7066293001498203,-0.7075839400168542,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.9184702583333337
2023-07-22T00:00:00Z,1,29.805208333333333,6.760416666666665,13.27083333333333,5.1875,6.604166666666665,6.979166666666666,78.83333333333334,55.60416666666667,27.479166666666664,0,-0.9022191249312045,-0.4312779273373164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.800674550000001
2023-07-23T00:00:00Z,3,29.957395833333333,5.072916666666665,29.552083333333336,10.75,14.78125,15.541666666666668,79.92708333333334,55.677083333333336,56.552083333333336,0,0.5532525131407077,-0.8330135993508696,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.837943783333334
2023-07-24T00:00:00Z,0,30.092916666666667,5.927083333333334,30.63541666666667,11.25,15.291666666666664,16.0625,77.09375,69.39583333333334,57.60416666666667,0,-0.986720364156802,-0.1624282086285141,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.6394128833333341
2023-07-25T00:00:00Z,1,30.08020833333333,4.5625,27.21875,10.010416666666668,13.572916666666668,14.447916666666664,75.86458333333334,78.94791666666666,52.3125,0.42000000000000004,0.37755261448342536,-0.9259881334535178,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2.065628850000001
2023-07-26T00:00:00Z,1,30.085104166666667,5.614583333333333,53.6875,17.677083333333336,28.375,30.552083333333336,77.67708333333334,72.09375,85.20833333333333,0,-0.9981065554565687,0.06150856813992317,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5.291317566666668
2023-07-27T00:00:00Z,2,29.9634375,7.375,52.604166666666664,20.15625,28.760416666666668,31.9375,82.125,75.65625,86.44791666666667,0,0.9994499181939906,0.03316415266557249,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4.160375208333335
2023-07-28T00:00:00Z,1,29.979375,3.364583333333332,36.208333333333336,13.364583333333334,18.229166666666668,19.09375,85.09375,68.02083333333333,62.364583333333336,0.06999999999999999,-0.3401255875672557,0.9403800214179526,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.8086262166666676
2023-07-29T00:00:00Z,0,29.805416666666666,6.8125,23.59375,9.427083333333334,11.854166666666666,12.416666666666666,80.27083333333334,75.89583333333334,46.510416666666664,0.09,0.2059095633486712,-0.9785710253842383,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.8345608333333339
2023-07-30T00:00:00Z,3,29.921770833333333,8.802083333333336,6.125,2.666666666666667,3.041666666666667,3.364583333333333,73.40625,58.42708333333333,12.791666666666668,0,-0.6100610217094651,-0.7923544344488794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.3151414083333338
