Date,Connection,CruiseArrival,Guest,mean2.5,mean1.0,mean10.0,max2.5,max1.0,max10.0
2023-09-27,NA,FALSE,0,6.066666666666666,5.440791666666667,10.406979166666666,9.1,8.8015,15.9245
2023-09-28,NA,FALSE,0,9.55,8.688083333333333,17.289895833333333,15.4,14.5885,28.3265
2023-09-29,Yes,TRUE,2500,4.075,3.4159166666666665,6.92575,12.2,11.125,22.4285
2023-09-30,Yes,TRUE,3000,8.241666666666667,7.230375,14.73975,12.3,11.184,22.84
2023-10-01,NA,FALSE,0,11.570833333333333,10.524854166666666,20.829875,18.6,16.468,35.1895
2023-10-02,NA,FALSE,0,10.941666666666666,11.054604166666667,19.452708333333334,14.1,13.8805,27.0965
2023-10-03,NA,FALSE,0,15.120833333333334,15.424458333333334,28.16775,24,22.8195,45.0165
2023-10-04,No,TRUE,5000,17.358333333333334,17.478395833333334,31.3064375,27.4,25.311,49.3685
2023-10-05,NA,FALSE,0,9.483333333333333,9.717104166666667,16.6374375,16.5,17.654,30.097
2023-10-06,NA,FALSE,0,9.7125,9.25025,17.4409375,16.8,15.8165,31.683
2023-10-07,Yes,TRUE,3000,4.5375,4.191041666666667,8.41675,10.6,9.424,20.667
2023-10-08,NA,FALSE,0,1.315,0.889925,1.45595,2.8,2.598,4.112
