Date,Ship,Line,Arrival,Departure,Terminal
10/12/23,Balmoral,Fred Olsen Cruise Lines,AM,---,MCT
10/12/23,Explora I,Explora Journeys,7:00 AM,---,MCT
10/12/23,Seabourn Quest,Seabourn Cruise Line,7:00 AM,5:00 PM,MCT
10/13/23,Balmoral,Fred Olsen Cruise Lines,---,---,MCT
10/13/23,Crystal Serenity,Crystal Cruises,7:00 AM,8:00 PM,MCT
10/13/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
10/13/23,Explora I,Explora Journeys,---,---,MCT
10/13/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
10/14/23,Balmoral,Fred Olsen Cruise Lines,---,Early AM,MCT
10/14/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
10/14/23,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT
10/14/23,Explora I,Explora Journeys,---,6:00 AM,MCT
10/14/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
10/15/23,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT
10/15/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT
10/15/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
10/16/23,Mein Schiff 6,TUI Cruises,11:00 AM,---,CLCP
10/16/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
10/17/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
10/17/23,Mein Schiff 6,TUI Cruises,---,---,CLCP
10/17/23,MS Europa 2,Hapag-Lloyd Cruises,7:00 AM,---,MCT
10/18/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
10/18/23,Mein Schiff 6,TUI Cruises,---,10:00 PM,CLCP
10/18/23,MS Europa 2,Hapag-Lloyd Cruises,---,5:00 PM,MCT
10/19/23,MS Europa,Hapag-Lloyd Cruises,4:00 PM,---,MCT
10/19/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
10/19/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
10/20/23,Jewel of the Seas,Royal Caribbean,8:00 AM,5:00 PM,CLCP
10/20/23,MS Europa,Hapag-Lloyd Cruises,---,---,MCT
10/21/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
10/21/23,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT
10/21/23,MS Europa,Hapag-Lloyd Cruises,---,---,MCT
10/22/23,MS Europa,Hapag-Lloyd Cruises,---,7:00 AM,MCT
10/22/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
10/22/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
10/23/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
10/25/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
10/25/23,Silver Shadow,Silversea Cruises,7:00 AM,7:00 PM,MCT
10/26/23,Mein Schiff 6,TUI Cruises,8:00 AM,---,CLCP
10/27/23,Artania,Phoenix Reisen Cruises,7:00 AM,---,MCT
10/27/23,Caribbean Princess,Princess Cruises,7:00 AM,11:00 PM,BCT
10/27/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
