Date,Ship,Line,Arrival,Departure,Terminal
6/20/23,Viking Neptune,Viking Ocean Cruises,7:00 AM,---,MCT
6/21/23,Viking Neptune,Viking Ocean Cruises,---,2:00 PM,MCT
6/22/23,Seven Seas Navigator,Regent Seven Seas,11:00 AM,---,MCT
6/23/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
6/23/23,Seven Seas Navigator,Regent Seven Seas,7:00 AM,6:00 PM,MCT
6/24/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
6/25/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
6/25/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
6/25/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,11:00 PM,MCT
6/27/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
6/28/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
6/29/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
6/29/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
6/30/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
6/30/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
7/1/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT
7/2/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
7/2/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
7/5/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
7/7/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
7/7/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
7/8/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
7/9/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
7/9/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
7/9/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
7/12/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
7/13/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
7/13/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
7/13/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
7/13/23,Viking Neptune,Viking Ocean Cruises,N/A,---,MCT
7/14/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
7/14/23,Viking Neptune,Viking Ocean Cruises,---,---,MCT
7/15/23,Viking Neptune,Viking Ocean Cruises,---,N/A,MCT
7/16/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
7/16/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
7/16/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
7/17/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
7/18/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
7/21/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
7/21/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
7/22/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
7/23/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
7/23/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
7/23/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
7/25/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
7/26/23,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT
7/26/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
7/27/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
7/27/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
7/28/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
7/30/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
7/30/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
7/30/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
8/1/23,Insignia,Oceania Cruises,4:00 PM,---,MCT
8/2/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
8/2/23,Insignia,Oceania Cruises,---,4:00 PM,MCT
8/4/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
8/5/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
8/6/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
8/6/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
8/6/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
8/6/23,Viking Neptune,Viking Ocean Cruises,N/A,---,MCT
8/7/23,Viking Neptune,Viking Ocean Cruises,---,N/A,MCT
8/9/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
8/10/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
8/10/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
8/10/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
8/13/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
8/13/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
8/13/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
8/14/23,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT
8/14/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
8/15/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
8/16/23,Coral Princess,Princess Cruises,6:30 AM,---,MCT
8/17/23,Coral Princess,Princess Cruises,---,5:00 PM,MCT
8/17/23,Viking Polaris,Viking Expeditions,N/A,N/A,MCT
8/18/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
8/19/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
8/19/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
8/20/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
8/20/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
8/21/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
8/22/23,Norwegian Escape,Norwegian Cruise Line,N/A,8:00 PM,MCT
8/23/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
8/23/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
8/24/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
8/24/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
8/27/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
8/27/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT
8/27/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
8/30/23,Caribbean Princess,Princess Cruises,7:00 AM,5:00 PM,BCT
8/30/23,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT
8/30/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
8/30/23,Viking Saturn,Viking Ocean Cruises,N/A,N/A,MCT
8/31/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
9/2/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
9/3/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT
9/3/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
9/4/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
9/4/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT
9/4/23,Viking Star,Viking Ocean Cruises,N/A,---,MCT
9/5/23,Viking Star,Viking Ocean Cruises,---,4:30 PM,MCT
9/6/23,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT
9/6/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
9/6/23,Seabourn Quest,Seabourn,7:00 AM,5:00 PM,MCT
9/7/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
9/7/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
9/8/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
9/9/23,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT
