time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-09-15T02:00:00Z,NA,NA,NA,2.2,1.8305,2.9415,2023-09-14T22:00:00Z,2023-09-14
2023-09-15T10:00:00Z,NA,NA,NA,2.5,2.234,3.673,2023-09-15T06:00:00Z,2023-09-15
2023-09-15T03:00:00Z,NA,NA,NA,2.3,2.0595,3.2915,2023-09-14T23:00:00Z,2023-09-14
2023-09-15T06:00:00Z,NA,NA,NA,2.7,2.323,3.9025,2023-09-15T02:00:00Z,2023-09-15
2023-09-15T08:00:00Z,NA,NA,NA,2.1,1.6545,2.863,2023-09-15T04:00:00Z,2023-09-15
2023-10-06T08:00:00Z,NA,NA,NA,11.1,10.2125,19.1585,2023-10-06T04:00:00Z,2023-10-06
2023-10-06T02:00:00Z,NA,NA,NA,14.2,14.198,24.9505,2023-10-05T22:00:00Z,2023-10-05
2023-10-06T15:00:00Z,NA,NA,NA,12.2,11.689,21.9525,2023-10-06T11:00:00Z,2023-10-06
2023-10-06T10:00:00Z,NA,NA,NA,10.6,10.078,17.9895,2023-10-06T06:00:00Z,2023-10-06
2023-10-06T07:00:00Z,NA,NA,NA,9.2,8.807,15.595,2023-10-06T03:00:00Z,2023-10-06
2023-10-06T09:00:00Z,NA,NA,NA,10.1,9.535,17.193,2023-10-06T05:00:00Z,2023-10-06
2023-10-06T04:00:00Z,NA,NA,NA,16.8,15.8165,31.683,2023-10-06T00:00:00Z,2023-10-06
2023-10-06T13:00:00Z,NA,NA,NA,14.1,13.072,25.232,2023-10-06T09:00:00Z,2023-10-06
2023-10-06T22:00:00Z,NA,NA,NA,5.3,5.2135,10.0085,2023-10-06T18:00:00Z,2023-10-06
2023-10-06T19:00:00Z,NA,NA,NA,8.1,7.831,13.9765,2023-10-06T15:00:00Z,2023-10-06
2023-10-06T12:00:00Z,NA,NA,NA,13.5,12.4875,23.8225,2023-10-06T08:00:00Z,2023-10-06
2023-10-06T03:00:00Z,NA,NA,NA,15.6,14.929,28.453,2023-10-05T23:00:00Z,2023-10-05
2023-10-06T23:00:00Z,NA,NA,NA,6.2,6.1045,11.64,2023-10-06T19:00:00Z,2023-10-06
2023-10-06T01:00:00Z,NA,NA,NA,12.7,13.1935,21.992,2023-10-05T21:00:00Z,2023-10-05
2023-10-06T00:00:00Z,NA,NA,NA,10.4,10.9025,17.8525,2023-10-05T20:00:00Z,2023-10-05
2023-10-06T14:00:00Z,NA,NA,NA,14.2,13.109,25.4715,2023-10-06T10:00:00Z,2023-10-06
2023-10-06T06:00:00Z,NA,NA,NA,10.9,10.017,18.714,2023-10-06T02:00:00Z,2023-10-06
2023-10-06T18:00:00Z,NA,NA,NA,6,5.9335,10.066,2023-10-06T14:00:00Z,2023-10-06
2023-10-06T20:00:00Z,NA,NA,NA,8.1,8.015,14.1925,2023-10-06T16:00:00Z,2023-10-06
2023-10-06T05:00:00Z,NA,NA,NA,12.1,11.5575,21.3695,2023-10-06T01:00:00Z,2023-10-06
2023-10-06T11:00:00Z,NA,NA,NA,12.7,11.8895,22.12,2023-10-06T07:00:00Z,2023-10-06
2023-10-06T17:00:00Z,NA,NA,NA,6.9,6.8075,11.6025,2023-10-06T13:00:00Z,2023-10-06
2023-10-06T16:00:00Z,NA,NA,NA,9,8.657,15.6295,2023-10-06T12:00:00Z,2023-10-06
2023-10-06T21:00:00Z,NA,NA,NA,6.2,6.3225,11.006,2023-10-06T17:00:00Z,2023-10-06
2023-10-04T03:00:00Z,NA,NA,NA,13.6,14.883,24.9035,2023-10-03T23:00:00Z,2023-10-03
2023-10-04T10:00:00Z,NA,NA,NA,22.6,22.168,41.5345,2023-10-04T06:00:00Z,2023-10-04
2023-10-04T17:00:00Z,NA,NA,NA,13,13.928,23.0605,2023-10-04T13:00:00Z,2023-10-04
2023-10-04T02:00:00Z,NA,NA,NA,14.5,15.328,26.881,2023-10-03T22:00:00Z,2023-10-03
2023-10-04T08:00:00Z,NA,NA,NA,19.8,20.51,36.51,2023-10-04T04:00:00Z,2023-10-04
2023-10-04T06:00:00Z,NA,NA,NA,17.2,18.334,31.193,2023-10-04T02:00:00Z,2023-10-04
2023-10-04T13:00:00Z,NA,NA,NA,27,25.1875,47.7175,2023-10-04T09:00:00Z,2023-10-04
2023-10-04T05:00:00Z,NA,NA,NA,16.1,17.32,29.085,2023-10-04T01:00:00Z,2023-10-04
2023-10-04T20:00:00Z,NA,NA,NA,7.3,7.65,13.0565,2023-10-04T16:00:00Z,2023-10-04
2023-10-04T14:00:00Z,NA,NA,NA,24,23.0885,42.9095,2023-10-04T10:00:00Z,2023-10-04
2023-10-04T00:00:00Z,NA,NA,NA,16.8,18.0555,31.2605,2023-10-03T20:00:00Z,2023-10-03
2023-10-04T12:00:00Z,NA,NA,NA,27.4,25.311,49.3685,2023-10-04T08:00:00Z,2023-10-04
2023-10-04T19:00:00Z,NA,NA,NA,7.7,8.1465,13.3395,2023-10-04T15:00:00Z,2023-10-04
