time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-09-13T23:00:00Z,65.1,76.834,986.174,3,2.7525,4.68,2023-09-13T19:00:00Z,2023-09-13
2023-09-13T20:00:00Z,52.533,81.466,985.124,2.8,2.559,4.161,2023-09-13T16:00:00Z,2023-09-13
2023-09-13T22:00:00Z,61.034,79.534,985.696,2.9,2.6355,4.397,2023-09-13T18:00:00Z,2023-09-13
2023-09-13T00:00:00Z,62.833,75.966,987.288,3.3,3.4515,5.4275,2023-09-12T20:00:00Z,2023-09-12
2023-09-13T14:00:00Z,67.4,77.867,986.519,2.7,2.408,3.9305,2023-09-13T10:00:00Z,2023-09-13
2023-09-13T21:00:00Z,54.433,81.466,985.275,2.7,2.408,4.0235,2023-09-13T17:00:00Z,2023-09-13
2023-09-13T17:00:00Z,60.834,79.166,986.474,3.7,3.718,5.913,2023-09-13T13:00:00Z,2023-09-13
2023-09-13T16:00:00Z,60.4,80.534,986.514,3.6,3.532,5.759,2023-09-13T12:00:00Z,2023-09-13
2023-09-13T15:00:00Z,64.867,79.166,986.462,2.9,2.6925,4.584,2023-09-13T11:00:00Z,2023-09-13
2023-09-13T12:00:00Z,72.9,74.666,986.326,4.2,4.1945,6.8155,2023-09-13T08:00:00Z,2023-09-13
2023-09-13T18:00:00Z,55.066,81.5,985.754,3.1,2.9555,4.6835,2023-09-13T14:00:00Z,2023-09-13
2023-09-15T19:00:00Z,40.133,78.233,988.87,2.9,2.5265,4.4015,2023-09-15T15:00:00Z,2023-09-15
2023-09-15T06:00:00Z,56.966,60.233,991.702,2.1,1.6305,3.136,2023-09-15T02:00:00Z,2023-09-15
2023-09-15T18:00:00Z,35.1,82.933,989.062,2.9,2.503,4.4365,2023-09-15T14:00:00Z,2023-09-15
2023-09-15T13:00:00Z,53.534,63.367,992.015,3,2.6055,4.8015,2023-09-15T09:00:00Z,2023-09-15
2023-09-15T07:00:00Z,58.5,60,991.701,2.1,1.588,3.162,2023-09-15T03:00:00Z,2023-09-15
2023-09-15T23:00:00Z,46.067,71.067,988.056,4.6,4.4955,7.697,2023-09-15T19:00:00Z,2023-09-15
2023-09-15T01:00:00Z,44.867,68.433,991.602,1.8,1.2745,2.4835,2023-09-14T21:00:00Z,2023-09-14
2023-09-15T00:00:00Z,46.367,70,991.176,1.5,0.9415,1.856,2023-09-14T20:00:00Z,2023-09-14
2023-09-15T20:00:00Z,40.834,76.6,988.58,2.7,2.2415,4.1095,2023-09-15T16:00:00Z,2023-09-15
2023-09-15T10:00:00Z,57.933,60,991.752,1.9,1.3395,2.8095,2023-09-15T06:00:00Z,2023-09-15
2023-09-15T02:00:00Z,46.534,67.334,992.057,2.2,1.6545,3.1895,2023-09-14T22:00:00Z,2023-09-14
2023-09-15T04:00:00Z,49.934,64.733,992.114,2.1,1.4905,3.0545,2023-09-15T00:00:00Z,2023-09-15
2023-09-15T14:00:00Z,46.333,71.9,991.545,2.8,2.306,4.3345,2023-09-15T10:00:00Z,2023-09-15
2023-09-15T21:00:00Z,40.433,75.867,988.3,2.3,1.7405,3.3005,2023-09-15T17:00:00Z,2023-09-15
2023-09-15T15:00:00Z,35.733,80.733,990.784,2.5,1.9515,3.737,2023-09-15T11:00:00Z,2023-09-15
2023-09-15T16:00:00Z,31.634,85.067,990.026,2.4,1.892,3.535,2023-09-15T12:00:00Z,2023-09-15
2023-09-15T11:00:00Z,57.367,60,992.022,2.2,1.749,3.281,2023-09-15T07:00:00Z,2023-09-15
2023-09-15T03:00:00Z,47.766,66.2,992.29,2.2,1.662,3.224,2023-09-14T23:00:00Z,2023-09-14
2023-09-15T22:00:00Z,42.3,74.3,988.242,2.2,1.681,3.1955,2023-09-15T18:00:00Z,2023-09-15
2023-09-15T09:00:00Z,57.367,60.534,991.628,1.8,1.284,2.6485,2023-09-15T05:00:00Z,2023-09-15
2023-09-15T17:00:00Z,31.867,85.8,989.44,2.5,2.0315,3.79,2023-09-15T13:00:00Z,2023-09-15
2023-09-15T08:00:00Z,56.5,60.933,991.822,2,1.496,3.0125,2023-09-15T04:00:00Z,2023-09-15
2023-09-15T12:00:00Z,56.166,61.133,992.135,2.5,2.091,3.813,2023-09-15T08:00:00Z,2023-09-15
2023-09-15T05:00:00Z,52.8,62.867,991.552,2.1,1.4895,3.003,2023-09-15T01:00:00Z,2023-09-15
2023-09-22T02:00:00Z,62.267,59.334,998.361,2.7,2.5705,4.543,2023-09-21T22:00:00Z,2023-09-21
2023-09-22T03:00:00Z,62.833,57.9,998.195,2.9,2.7,4.6655,2023-09-21T23:00:00Z,2023-09-21
2023-09-22T11:00:00Z,64.5,53.4,1000.202,2.7,2.509,4.384,2023-09-22T07:00:00Z,2023-09-22
2023-09-22T00:00:00Z,59.767,62.466,998.056,2.7,2.4255,4.2785,2023-09-21T20:00:00Z,2023-09-21
2023-09-22T20:00:00Z,42.433,74.567,999.248,3.3,3.0225,5.3405,2023-09-22T16:00:00Z,2023-09-22
2023-09-22T04:00:00Z,63,57.166,998.62,2.8,2.782,4.807,2023-09-22T00:00:00Z,2023-09-22
2023-09-22T09:00:00Z,63.834,53.5,999.508,2.6,2.4615,4.258,2023-09-22T05:00:00Z,2023-09-22
2023-09-22T15:00:00Z,45.466,78.534,1000.651,2.8,2.51,4.2935,2023-09-22T11:00:00Z,2023-09-22
2023-09-22T23:00:00Z,57.667,67.034,998.944,4.3,4.0605,7.3175,2023-09-22T19:00:00Z,2023-09-22
2023-09-22T18:00:00Z,38.834,78.467,999.807,3.1,2.9245,4.944,2023-09-22T14:00:00Z,2023-09-22
2023-09-22T22:00:00Z,51.733,70.267,999.07,4.2,3.9365,7.1705,2023-09-22T18:00:00Z,2023-09-22
