time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-08-01T07:00:00Z,51.9,73,1017.964,6.5,6.124,10.4355,2023-08-01T03:00:00Z,2023-08-01
2023-08-01T04:00:00Z,42.6,77,1017.897,8.8,8.3015,14.605,2023-08-01T00:00:00Z,2023-08-01
2023-08-01T16:00:00Z,27.133,83.4,1020.613,2.7,2.6055,3.9425,2023-08-01T12:00:00Z,2023-08-01
2023-08-01T11:00:00Z,51.334,73.4,1020.006,4.5,4.479,7.0895,2023-08-01T07:00:00Z,2023-08-01
2023-08-01T10:00:00Z,53.434,72.2,1019.386,5.1,4.984,8.057,2023-08-01T06:00:00Z,2023-08-01
2023-08-01T12:00:00Z,46.6,75.633,1020.4,3.9,3.9705,6.1655,2023-08-01T08:00:00Z,2023-08-01
2023-08-01T14:00:00Z,29,83.933,1020.734,2.5,2.284,3.602,2023-08-01T10:00:00Z,2023-08-01
2023-08-01T00:00:00Z,41.133,82.167,1015.572,5.1,5.4875,8.295,2023-07-31T20:00:00Z,2023-07-31
2023-08-01T03:00:00Z,42.067,78.3,1017.596,9,8.693,14.869,2023-07-31T23:00:00Z,2023-07-31
2023-08-01T20:00:00Z,27,85.8,1019.699,3.2,3.1865,4.7965,2023-08-01T16:00:00Z,2023-08-01
2023-08-01T23:00:00Z,28.733,85.033,1020.053,3.3,3.5255,5.1795,2023-08-01T19:00:00Z,2023-08-01
2023-08-01T02:00:00Z,39.8,79.8,1017.231,8.4,8.1765,13.814,2023-07-31T22:00:00Z,2023-07-31
2023-08-01T22:00:00Z,26.434,86.267,1019.379,2.9,2.803,4.2335,2023-08-01T18:00:00Z,2023-08-01
2023-08-01T17:00:00Z,25.367,86.534,1020.241,3.1,3.1795,4.728,2023-08-01T13:00:00Z,2023-08-01
2023-08-01T19:00:00Z,23.1,89,1019.938,3,2.829,4.4325,2023-08-01T15:00:00Z,2023-08-01
2023-08-01T01:00:00Z,41.867,80.1,1016.609,6.5,6.5725,10.6765,2023-07-31T21:00:00Z,2023-07-31
2023-08-01T09:00:00Z,52.733,73.034,1018.875,5.8,5.537,9.2775,2023-08-01T05:00:00Z,2023-08-01
2023-08-01T18:00:00Z,23.1,89.267,1020.102,3,2.8285,4.31,2023-08-01T14:00:00Z,2023-08-01
2023-08-01T15:00:00Z,29.1,82.9,1020.825,2.7,2.496,3.828,2023-08-01T11:00:00Z,2023-08-01
2023-08-01T13:00:00Z,34.966,81.233,1020.506,2.8,2.607,4.1675,2023-08-01T09:00:00Z,2023-08-01
2023-08-01T05:00:00Z,44.567,75.834,1018.072,7.2,6.813,11.679,2023-08-01T01:00:00Z,2023-08-01
2023-08-01T06:00:00Z,50.7,73.034,1018.053,6,5.582,9.503,2023-08-01T02:00:00Z,2023-08-01
2023-08-01T21:00:00Z,26.966,86.633,1019.308,3.1,3.01,4.551,2023-08-01T17:00:00Z,2023-08-01
2023-08-01T08:00:00Z,53.2,72.4,1018.218,6.8,6.321,10.9035,2023-08-01T04:00:00Z,2023-08-01
2023-08-05T04:00:00Z,65.267,76,1014.614,10.4,9.1845,19.141,2023-08-05T00:00:00Z,2023-08-05
2023-08-05T05:00:00Z,66.9,75.934,1014.53,10.5,9.173,19.5245,2023-08-05T01:00:00Z,2023-08-05
2023-08-05T06:00:00Z,66.434,75.8,1014.456,9.5,8.381,16.7205,2023-08-05T02:00:00Z,2023-08-05
2023-08-05T15:00:00Z,44.933,84.334,1015.583,19,18.9035,32.7175,2023-08-05T11:00:00Z,2023-08-05
2023-08-05T16:00:00Z,37.267,88.233,1015.311,20,19.592,33.853,2023-08-05T12:00:00Z,2023-08-05
2023-08-05T14:00:00Z,46.933,84.333,1015.471,18.6,18.394,31.468,2023-08-05T10:00:00Z,2023-08-05
2023-08-05T07:00:00Z,65.5,76,1014.553,10.2,9.1465,18.0565,2023-08-05T03:00:00Z,2023-08-05
2023-08-05T23:00:00Z,37.667,84.233,1015.21,25.9,23.365,45.212,2023-08-05T19:00:00Z,2023-08-05
